function	description	HC-DS	HC-HD	HC-HX	HC-XY
K11068	hlyIII; hemolysin III	15929.53	18617.37	18073.25	17853.14
K11069	potD; spermidine/putrescine transport system substrate-binding protein	14138.33	16166.37	15251.5	13368.84
K11070	potC; spermidine/putrescine transport system permease protein	14844.66	18367.37	15295.5	14034.51
K11071	potB; spermidine/putrescine transport system permease protein	14138.33	16166.37	15288.5	13787.84
K11072	potA; spermidine/putrescine transport system ATP-binding protein [EC:3.6.3.31]	14138.33	16175.37	15288.5	13810.51
K11073	potF; putrescine transport system substrate-binding protein	15084.0	20510.17	17406.0	16843.34
K11074	potI; putrescine transport system permease protein	14875.2	16388.17	17406.0	15243.14
K11075	potH; putrescine transport system permease protein	14875.2	16388.17	17406.0	15243.14
K11076	potG; putrescine transport system ATP-binding protein	14875.2	16388.17	17406.0	15243.14
K11081	phnS; 2-aminoethylphosphonate transport system substrate-binding protein	13091.0	13945.17	15234.0	13098.17
K11082	phnV; 2-aminoethylphosphonate transport system permease protein	13912.0	14816.17	16245.5	13920.67
K11083	phnU; 2-aminoethylphosphonate transport system permease protein	13091.0	13945.17	15234.0	13098.17
K11084	phnT; 2-aminoethylphosphonate transport system ATP-binding protein	13091.0	13945.17	15234.0	13098.17
K11085	msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]	18136.2	23019.37	18060.0	17261.14
K11089	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein	23.2	458.0	79.0	264.8
K11102	gltP, gltT; proton glutamate symport protein	14898.4	16863.17	17872.0	17278.27
K11103	dctA; aerobic C4-dicarboxylate transport protein	14944.8	17779.17	19082.0	21654.870000000003
K11104	melB; melibiose permease	13185.33	13908.0	15234.0	13323.17
K11105	cvrA, nhaP2; cell volume regulation protein A	13114.2	14423.37	15234.0	13299.97
K11106	ttdT; L-tartrate/succinate antiporter	13091.0	13908.0	15234.0	13100.5
K11107	yfaE; ferredoxin	14852.0	15947.17	17327.0	14955.67
K11144	dnaI; primosomal protein DnaI	1.75	0.0	8.5	0.0
K11145	K11145; ribonuclease III family protein [EC:3.1.26.-]	2380.33	2201.0	62.75	716.67
K11159	K11159; carotenoid cleavage dioxygenase	0.0	0.0	0.0	22.67
K11175	purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	17253.78	18626.37	18071.25	17904.14
K11177	yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]	23.2	458.0	79.0	264.8
K11178	yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]	23.2	458.0	79.0	264.8
K11179	tusE, dsrC; tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]	14880.45	16405.17	17869.75	17100.47
K11180	dsrA; dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5]	5.25	0.0	6.75	0.0
K11181	dsrB; dissimilatory sulfite reductase beta subunit [EC:1.8.99.5]	5.25	0.0	6.75	0.0
K11183	PTS-HPR.FRUB, fruB, fpr; phosphocarrier protein FPr	15790.53	17285.17	18874.5	18169.64
K11184	chr, crh; catabolite repression HPr-like protein	706.33	2201.0	0.0	246.67
K11189	PTS-HPR; phosphocarrier protein	5246.8	11930.0	206.5	4112.95
K11192	PTS-Mur-EIIC, murP; PTS system, N-acetylmuramic acid-specific IIC component	13091.0	13908.0	15234.0	13076.5
K11200	PTS-Mng-EIIC, mngA, hrsA; PTS system, 2-O-A-mannosyl-D-glycerate-specific IIC component	0.0	0.0	0.0	48.0
K11202	PTS-Fru2-EIIB; PTS system, fructose-specific IIB-like component [EC:2.7.1.-]	10611.0	11340.0	12370.0	10659.0
K11208	yncG; GST-like protein	13114.2	14403.17	15234.0	13299.97
K11209	yghU, yfcG; GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]	28035.8	31733.34	33787.0	32832.71
K11211	kdkA; 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]	0.0	0.0	79.0	109.67
K11216	lsrK; autoinducer-2 kinase [EC:2.7.1.189]	13091.0	13954.17	15234.0	13122.17
K11249	eamB; cysteine/O-acetylserine efflux protein	13091.0	13908.0	15234.0	13076.5
K11250	leuE; leucine efflux protein	13091.0	13945.17	15770.0	15089.17
K11258	ilvM; acetolactate synthase II small subunit [EC:2.2.1.6]	14852.0	15947.17	17406.0	15042.67
K11261	fwdE, fmdE; formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]	99.58	0.0	6.75	246.67
K11263	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	0.0	0.0	606.0	1967.0
K11264	scpB, mmcD; methylmalonyl-CoA decarboxylase [EC:4.1.1.41]	23.2	458.0	0.0	177.8
K11311	antC; anthranilate 1,2-dioxygenase reductase component [EC:1.18.1.-]	23.2	458.0	536.0	2144.8
K11357	divJ; two-component system, cell cycle sensor histidine kinase DivJ [EC:2.7.13.3]	0.0	9.0	0.0	0.0
K11358	yhdR; aspartate aminotransferase [EC:2.6.1.1]	2355.58	2201.0	10.75	297.67
K11381	bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]	0.0	29.2	79.0	109.67
K11382	pgtP; MFS transporter, OPA family, phosphoglycerate transporter protein	13091.0	13908.0	15234.0	13076.5
K11383	kinB; two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]	23.2	458.0	0.0	177.8
K11384	algB; two-component system, NtrC family, response regulator AlgB	23.2	458.0	0.0	177.8
K11391	rlmG; 23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174]	13091.0	13908.0	15234.0	13100.5
K11392	rsmF; 16S rRNA (cytosine1407-C5)-methyltransferase [EC:2.1.1.178]	13091.0	13945.17	15234.0	13122.17
K11441	kguK; dehydrogluconokinase [EC:2.7.1.13]	23.2	458.0	0.0	177.8
K11443	divK; two-component system, cell cycle response regulator DivK	23.2	467.0	0.0	177.8
K11444	wspR; two-component system, chemotaxis family, response regulator WspR [EC:2.7.7.65]	23.2	458.0	0.0	177.8
K11472	glcE; glycolate oxidase FAD binding subunit	0.0	9.0	68.0	0.0
K11473	glcF; glycolate oxidase iron-sulfur subunit	15.75	9.0	88.25	22.67
K11474	glcC; GntR family transcriptional regulator, glc operon transcriptional activator	0.0	0.0	0.0	22.67
K11475	vanR; GntR family transcriptional regulator, vanillate catabolism transcriptional regulator	0.0	0.0	536.0	2012.34
K11477	glcG; glc operon protein GlcG	23.2	458.0	0.0	177.8
K11527	K11527; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]	0.0	11.2	0.0	0.0
K11530	lsrG; (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase [EC:5.3.1.32]	13091.0	13954.17	15234.0	13122.17
K11531	lsrR; lsr operon transcriptional repressor	13091.0	13917.0	15234.0	13100.5
K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	0.0	9.0	0.0	0.0
K11533	fas; fatty acid synthase, bacteria type [EC:2.3.1.-]	0.0	0.0	2.0	0.0
K11534	deoR; DeoR family transcriptional regulator, deoxyribose operon repressor	15188.53	16405.17	17327.0	15380.14
K11535	nupC; nucleoside transport protein	14852.0	15947.17	17327.0	14955.67
K11537	xapB; MFS transporter, NHS family, xanthosine permease	0.0	11.2	0.0	24.0
K11604	sitA; manganese/iron transport system substrate-binding protein	14852.0	15956.17	17327.0	14955.67
K11605	sitC; manganese/iron transport system permease protein	14852.0	15956.17	17327.0	14955.67
K11606	sitD; manganese/iron transport system permease protein	14852.0	15956.17	17327.0	14955.67
K11607	sitB; manganese/iron transport system ATP-binding protein	14852.0	15956.17	17327.0	14955.67
K11614	yufL, malK; two-component system, CitB family, sensor histidine kinase MalK [EC:2.7.13.3]	1.75	0.0	1.5	0.0
K11615	malR; two-component system, CitB family, response regulator MalR	1.75	0.0	1.5	0.0
K11616	maeN; malate:Na+ symporter	0.0	37.17	0.0	21.67
K11617	liaS; two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]	0.0	0.0	7.0	0.0
K11618	liaR; two-component system, NarL family, response regulator LiaR	0.0	0.0	7.0	0.0
K11645	fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	13091.0	13965.37	15234.0	13122.17
K11685	stpA; DNA-binding protein StpA	13912.0	14779.0	16245.5	13923.0
K11688	dctP; C4-dicarboxylate-binding protein DctP	122.78	476.0	6.75	424.47
K11689	dctQ; C4-dicarboxylate transporter, DctQ subunit	23.2	467.0	0.0	177.8
K11690	dctM; C4-dicarboxylate transporter, DctM subunit	683.51	494.0	0.0	1904.49
K11692	K11692, dctR; two-component system, CitB family, response regulator DctR	5.25	0.0	6.75	0.0
K11707	troA, mntA, znuA; manganese/zinc/iron transport system substrate-binding protein	612.0	2201.0	0.0	0.0
K11708	troC, mntC, znuB; manganese/zinc/iron transport system permease protein	612.0	2201.0	0.0	0.0
K11709	troD, mntD, znuB; manganese/zinc/iron transport system permease protein	612.0	2201.0	0.0	0.0
K11710	troB, mntB, znuC; manganese/zinc/iron transport system ATP- binding protein	612.0	2201.0	0.0	0.0
K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS [EC:2.7.13.3]	0.0	0.0	68.0	0.0
K11712	dctR; two-component system, LuxR family, response regulator DctR	0.0	0.0	68.0	0.0
K11717	sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	16790.0	18168.37	18113.0	17502.34
K11719	lptC; lipopolysaccharide export system protein LptC	14875.2	16414.17	18012.0	15243.14
K11720	lptG; lipopolysaccharide export system permease protein	16201.2	16425.37	18060.0	17238.47
K11731	atuD; citronellyl-CoA dehydrogenase [EC:1.3.99.-]	23.2	458.0	536.0	2144.8
K11732	pheP; phenylalanine-specific permease	13091.0	13908.0	15234.0	13100.5
K11733	lysP; lysine-specific permease	15071.0	15947.17	17933.0	16945.34
K11734	aroP; aromatic amino acid transport protein AroP	20034.65	20916.34	23914.75	27085.44
K11735	gabP; GABA permease	13114.2	14366.0	16306.0	17210.97
K11736	proY; proline-specific permease ProY	14852.0	15947.17	17327.0	14955.67
K11737	cycA; D-serine/D-alanine/glycine transporter	27966.2	30313.17	35320.0	36164.97
K11738	ansP; L-asparagine permease	14852.0	15947.17	17327.0	14955.67
K11740	nfrB; bacteriophage N4 adsorption protein B	0.0	0.0	0.0	22.67
K11741	sugE; quaternary ammonium compound-resistance protein SugE	13160.6	15366.37	15996.0	15864.58
K11742	mdtI; spermidine export protein MdtI	13091.0	13954.17	15313.0	13209.17
K11743	mdtJ; spermidine export protein MdtJ	13091.0	13954.17	15313.0	13209.17
K11744	tqsA; AI-2 transport protein TqsA	13091.0	13945.17	15234.0	13122.17
K11745	kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	13091.0	13945.17	15302.0	13122.17
K11746	kefF; glutathione-regulated potassium-efflux system ancillary protein KefF	13091.0	13945.17	15770.0	15089.17
K11747	kefB; glutathione-regulated potassium-efflux system protein KefB	14875.2	16405.17	18557.0	19264.14
K11748	kefG; glutathione-regulated potassium-efflux system ancillary protein KefG	14852.0	15958.37	17327.0	14955.67
K11749	rseP; regulator of sigma E protease [EC:3.4.24.-]	17255.53	18626.37	18120.75	17904.14
K11750	frsA; esterase FrsA [EC:3.1.-.-]	14852.0	15947.17	17327.0	14955.67
K11751	ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]	14852.0	15947.17	17327.0	14955.67
K11752	ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	17278.73	19093.37	18113.75	18104.61
K11753	ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	17255.53	18626.37	18122.75	17926.809999999998
K11754	folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	17255.53	18626.37	18131.25	17926.809999999998
K11755	hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]	16912.58	18159.37	17952.25	17307.34
K11782	mqnA; chorismate dehydratase [EC:4.2.1.151]	1331.25	0.0	6.75	51.0
K11783	mqnB; futalosine hydrolase [EC:3.2.2.26]	5.25	0.0	6.75	0.0
K11784	mqnC; cyclic dehypoxanthinyl futalosine synthase [EC:1.21.98.1]	1331.25	0.0	6.75	51.0
K11785	mqnD; 1,4-dihydroxy-6-naphthoate synthase [EC:1.14.-.-]	5.25	0.0	6.75	0.0
K11787	GART; phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1]	0.0	18.0	0.0	0.0
K11811	arsH; arsenical resistance protein ArsH	11766.0	12469.0	14346.0	11770.17
K11890	impM; type VI secretion system protein ImpM	23.2	495.17	536.0	246.14000000000004
K11891	impL, vasK, icmF; type VI secretion system protein ImpL	27989.4	30797.17	33097.0	30401.44
K11892	impK, ompA, vasF, dotU; type VI secretion system protein ImpK	27989.4	30797.17	33097.0	30401.44
K11893	impJ, vasE; type VI secretion system protein ImpJ	27989.4	30797.17	33097.0	30401.44
K11894	impI, vasC; type VI secretion system protein ImpI	1784.2	2460.0	2093.0	2011.3
K11895	impH, vasB; type VI secretion system protein ImpH	27989.4	30797.17	32561.0	30401.44
K11896	impG, vasA; type VI secretion system protein ImpG	27989.4	30797.17	32561.0	30401.44
K11897	impF; type VI secretion system protein ImpF	23.2	495.17	0.0	2213.1400000000003
K11898	impE; type VI secretion system protein ImpE	0.0	37.17	0.0	45.67
K11900	impC; type VI secretion system protein ImpC	14898.4	16889.17	17327.0	15357.94
K11901	impB; type VI secretion system protein ImpB	14921.6	17347.17	17327.0	17502.739999999998
K11902	impA; type VI secretion system protein ImpA	23.2	495.17	536.0	2190.4700000000003
K11903	hcp; type VI secretion system secreted protein Hcp	45321.4	49323.51	52752.0	47820.280000000006
K11904	vgrG; type VI secretion system secreted protein VgrG	35775.6	39940.68	42776.0	44440.58
K11905	K11905; type VI secretion system protein	14875.2	16394.0	17327.0	15111.8
K11906	vasD, lip; type VI secretion system protein VasD	27989.4	30797.17	32561.0	28434.44
K11907	vasG, clpV; type VI secretion system protein VasG	14898.4	16915.17	17863.0	17324.940000000002
K11909	vasI; type VI secretion system protein VasI	1761.0	2011.0	2093.0	1833.5
K11910	vasJ; type VI secretion system protein VasJ	15696.2	17265.0	18338.5	15934.3
K11911	vasL; type VI secretion system protein VasL	14852.0	15947.17	17327.0	14955.67
K11912	ppkA; serine/threonine-protein kinase PpkA [EC:2.7.11.1]	23.2	458.0	0.0	177.8
K11913	fha1; type VI secretion system protein	23.2	458.0	0.0	177.8
K11914	sfa2; sigma-54 dependent transcriptional regulator	23.2	458.0	0.0	177.8
K11915	stp1, pppA; serine/threonine protein phosphatase Stp1 [EC:3.1.3.16]	46.4	916.0	0.0	355.6
K11916	stk1; serine/threonine-protein kinase Stk1 [EC:2.7.11.-]	23.2	458.0	0.0	177.8
K11921	cynR; LysR family transcriptional regulator, cyn operon transcriptional activator	13114.2	14403.17	15234.0	13275.97
K11922	mngR, farR; GntR family transcriptional regulator, mannosyl-D-glycerate transport/metabolism system repressor	0.0	0.0	0.0	24.0
K11923	cueR; MerR family transcriptional regulator, copper efflux regulator	14852.0	15947.17	17327.0	14955.67
K11924	mntR; DtxR family transcriptional regulator, manganese transport regulator	13091.0	13928.17	15313.0	13209.17
K11925	sgrR; SgrR family transcriptional regulator	14852.0	15947.17	17327.0	14955.67
K11926	crl; sigma factor-binding protein Crl	14852.0	15947.17	17327.0	14955.67
K11927	rhlE; ATP-dependent RNA helicase RhlE [EC:3.6.4.13]	15094.2	16425.37	17474.0	15243.14
K11928	putP; sodium/proline symporter	16295.53	16405.17	17868.5	17398.14
K11929	phoE; outer membrane pore protein E	13091.0	13945.17	15234.0	13122.17
K11931	pgaB; poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]	13114.2	14366.0	15849.0	15354.97
K11932	uspG; universal stress protein G	51645.0	55103.17	60165.0	51791.67
K11933	hcr; NADH oxidoreductase Hcr [EC:1.-.-.-]	14852.0	15947.17	17327.0	14955.67
K11934	ompX; outer membrane protein X	14852.0	15947.17	17327.0	14955.67
K11935	pgaA; biofilm PGA synthesis protein PgaA	13114.2	14366.0	15313.0	13365.3
K11936	pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]	13114.2	14366.0	16385.0	17321.97
K11937	pgaD; biofilm PGA synthesis protein PgaD	13114.2	14366.0	15313.0	13387.97
K11938	cof; HMP-PP phosphatase [EC:3.6.1.-]	13091.0	13945.17	15234.0	13122.17
K11939	rhtA; inner membrane transporter RhtA	14875.2	16405.17	18550.0	21144.14
K11940	hspQ; heat shock protein HspQ	14852.0	15956.17	17327.0	14955.67
K11941	mdoC; glucans biosynthesis protein C [EC:2.1.-.-]	13091.0	13945.17	15234.0	13122.17
K11958	natE; neutral amino acid transport system ATP-binding protein	0.0	9.0	0.0	0.0
K11959	urtA; urea transport system substrate-binding protein	22423.4	24771.17	26101.0	22766.11
K11960	urtB; urea transport system permease protein	13137.4	14879.17	15302.0	13477.77
K11961	urtC; urea transport system permease protein	13137.4	14879.17	15302.0	13500.44
K11962	urtD; urea transport system ATP-binding protein	13137.4	14879.17	15302.0	13500.44
K11963	urtE; urea transport system ATP-binding protein	13137.4	14879.17	15302.0	13523.11
K11972	RNF19A; E3 ubiquitin-protein ligase RNF19A [EC:2.3.2.31]	94.33	0.0	0.0	246.67
K11991	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]	17232.33	18168.37	17507.75	15695.01
K11996	MOCS3, UBA4; adenylyltransferase and sulfurtransferase [EC:2.7.7.80 2.8.1.11]	14898.4	16874.37	17863.0	17278.27
K12055	K12055, parA; chromosome partitioning related protein ParA	2480.0	2568.0	2864.0	2417.5
K12056	traG; conjugal transfer mating pair stabilization protein TraG	13091.0	13908.0	15234.0	13076.5
K12057	traF; conjugal transfer pilus assembly protein TraF	13091.0	13908.0	15234.0	13076.5
K12058	traN; conjugal transfer mating pair stabilization protein TraN	23198.0	24671.0	27044.5	23142.0
K12059	trbC; conjugal transfer pilus assembly protein TrbC	2480.0	2568.0	2864.0	2417.5
K12060	traU; conjugal transfer pilus assembly protein TraU	2480.0	2568.0	2864.0	2417.5
K12061	traW; conjugal transfer pilus assembly protein TraW	2480.0	2568.0	2864.0	2417.5
K12062	trbI; conjugal transfer pilin signal peptidase TrbI	2480.0	2568.0	2864.0	2417.5
K12063	traC; conjugal transfer ATP-binding protein TraC	3301.0	3439.0	3875.5	3240.0
K12064	traV; conjugal transfer pilus assembly protein TraV	2480.0	2568.0	2864.0	2417.5
K12065	traB; conjugal transfer pilus assembly protein TraB	2480.0	2568.0	2864.0	2417.5
K12066	traK; conjugal transfer pilus assembly protein TraK	2480.0	2568.0	2864.0	2417.5
K12067	traE; conjugal transfer pilus assembly protein TraE	2480.0	2568.0	2864.0	2417.5
K12068	traL; conjugal transfer pilus assembly protein TraL	2480.0	2568.0	2864.0	2417.5
K12072	traH; conjugative transfer pilus assembly protein TraH	13091.0	13908.0	15234.0	13076.5
K12137	hyfB; hydrogenase-4 component B [EC:1.-.-.-]	99.58	0.0	6.75	246.67
K12140	hyfE; hydrogenase-4 component E [EC:1.-.-.-]	5.25	0.0	6.75	0.0
K12141	hyfF; hydrogenase-4 component F [EC:1.-.-.-]	5.25	0.0	6.75	0.0
K12147	msyB; acidic protein MsyB	13091.0	13945.17	15234.0	13122.17
K12148	bssS; biofilm regulator BssS	14852.0	15947.17	17327.0	14955.67
K12149	dinI; DNA-damage-inducible protein I	14852.0	15947.17	17327.0	14955.67
K12151	bhsA; multiple stress resistance protein BhsA	13091.0	13945.17	15234.0	13122.17
K12152	nudJ; phosphatase NudJ [EC:3.6.1.-]	14852.0	15947.17	17327.0	14955.67
K12251	aguB; N-carbamoylputrescine amidase [EC:3.5.1.53]	2424.65	5130.2	2226.75	2276.1
K12252	aruH; arginine:pyruvate transaminase [EC:2.6.1.84]	46.4	925.0	0.0	355.6
K12253	aruI; 5-guanidino-2-oxopentanoate decarboxylase [EC:4.1.1.75]	23.2	458.0	0.0	177.8
K12254	kauB; 4-guanidinobutyraldehyde dehydrogenase / NAD-dependent aldehyde dehydrogenase [EC:1.2.1.54 1.2.1.-]	23.2	458.0	0.0	177.8
K12255	gbuA; guanidinobutyrase [EC:3.5.3.7]	13114.2	14403.17	15234.0	13275.97
K12256	spuC; putrescine---pyruvate transaminase [EC:2.6.1.113]	23.2	458.0	0.0	177.8
K12257	secDF; SecD/SecF fusion protein	2307.5	6623.2	63.0	0.0
K12262	cybB; cytochrome b561	14921.6	17331.17	18089.0	19621.07
K12264	norV; anaerobic nitric oxide reductase flavorubredoxin	13091.0	13908.0	15236.0	13100.5
K12265	norW; nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]	13091.0	13908.0	15234.0	13100.5
K12266	norR; anaerobic nitric oxide reductase transcription regulator	13114.2	14366.0	15370.0	13278.3
K12267	msrAB; peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]	2672.58	4413.2	67.25	297.67
K12288	hofM; pilus assembly protein HofM	14852.0	15947.17	17327.0	14955.67
K12289	hofN; pilus assembly protein HofN	14852.0	15947.17	17327.0	14955.67
K12290	hofO; pilus assembly protein HofO	0.0	0.0	0.0	24.0
K12291	hofP; pilus assembly protein HofP	0.0	37.17	0.0	21.67
K12296	comX1_2; competence protein ComX	0.0	0.0	7.0	0.0
K12297	rlmL, rlmK; 23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]	14875.2	16405.17	17942.0	17187.47
K12299	garP; MFS transporter, ACS family, probable galactarate transporter	13091.0	13908.0	15234.0	13076.5
K12308	bgaB, lacA; beta-galactosidase [EC:3.2.1.23]	25726.66	31902.6	27658.0	24228.84
K12339	cysM; cysteine synthase B [EC:2.5.1.47]	14875.2	16405.17	17931.0	17123.14
K12340	tolC; outer membrane protein	14875.2	16445.57	18058.0	17210.14
K12343	SRD5A1; 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22]	0.0	11.2	0.0	0.0
K12368	dppA; dipeptide transport system substrate-binding protein	14944.8	17799.34	17327.0	15712.54
K12369	dppB; dipeptide transport system permease protein	14875.2	16414.17	17327.0	15133.47
K12370	dppC; dipeptide transport system permease protein	14875.2	16414.17	17327.0	15133.47
K12371	dppD; dipeptide transport system ATP-binding protein	14875.2	16414.17	17327.0	15133.47
K12372	dppF; dipeptide transport system ATP-binding protein	14875.2	16414.17	17327.0	15133.47
K12373	HEXA_B; hexosaminidase [EC:3.2.1.52]	1761.0	2188.34	2268.0	1987.84
K12410	npdA; NAD-dependent deacetylase [EC:3.5.1.-]	17415.739999999998	18168.37	18030.0	18155.35
K12452	ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]	94.33	2.2	0.0	246.67
K12500	tesC; thioesterase III [EC:3.1.2.-]	13091.0	13945.17	15234.0	13122.17
K12506	ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]	1326.0	9.0	2.0	51.0
K12507	fadK; acyl-CoA synthetase [EC:6.2.1.-]	94.33	0.0	0.0	246.67
K12508	fcs; feruloyl-CoA synthase [EC:6.2.1.34]	0.0	0.0	536.0	1967.0
K12510	tadB; tight adherence protein B	752.5300000000001	2668.0	81.0	556.81
K12511	tadC; tight adherence protein C	23.2	467.0	147.0	310.14
K12524	thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	14852.0	15958.37	17454.0	15042.67
K12525	metL; bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]	14852.0	15947.17	17327.0	14955.67
K12526	lysAC; bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]	0.0	0.0	79.0	87.0
K12527	ygfK; putative selenate reductase [EC:1.97.1.9]	99.58	0.0	6.75	246.67
K12532	rtxD, fitB; membrane fusion protein, RTX toxin transport system	1761.0	2002.0	2093.0	1833.5
K12536	hasD, prtD, aprD; ATP-binding cassette, subfamily C, bacterial exporter for protease/lipase	1807.4	2955.17	2161.0	2233.44
K12537	hasE, prtE; membrane fusion protein, protease secretion system	1807.4	2955.17	2161.0	2233.44
K12538	hasF, prtF; outer membrane protein, protease secretion system	92.8	1869.17	68.0	755.54
K12541	lapB; ATP-binding cassette, subfamily C, bacterial LapB	46.4	925.0	536.0	2370.6
K12542	lapC; membrane fusion protein, adhesin transport system	46.4	925.0	536.0	2370.6
K12543	lapE; outer membrane protein, adhesin transport system	46.4	925.0	536.0	2393.27
K12545	hasA; heme acquisition protein HasA	23.2	458.0	0.0	177.8
K12549	lapA; surface adhesion protein	23.2	458.0	0.0	177.8
K12554	murN; alanine adding enzyme [EC:2.3.2.-]	0.0	0.0	7.0	0.0
K12555	pbp2A; penicillin-binding protein 2A [EC:2.4.1.129 3.4.16.4]	1.75	0.0	8.5	0.0
K12556	pbp2X; penicillin-binding protein 2X	0.0	0.0	7.0	0.0
K12567	TTN; titin [EC:2.7.11.1]	0.0	0.0	0.0	1967.0
K12573	rnr, vacB; ribonuclease R [EC:3.1.-.-]	17250.28	18626.37	18114.0	17926.809999999998
K12574	rnj; ribonuclease J [EC:3.1.-.-]	2387.33	2221.2	128.0	716.67
K12582	wecF, rffT; dTDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase [EC:2.4.1.325]	14852.0	15947.17	17327.0	14955.67
K12658	lhpA; 4-hydroxyproline epimerase [EC:5.1.1.8]	1348.2	1926.17	1571.0	3582.4700000000003
K12660	rhmA; 2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53]	13091.0	13908.0	15234.0	13076.5
K12661	LRA3, yfaW; L-rhamnonate dehydratase [EC:4.2.1.90]	13935.2	15237.0	16245.5	14076.8
K12678	aidA-I, misL; autotransporter family porin	0.0	0.0	237.0	306.34000000000003
K12685	ssp; subtilase-type serine protease [EC:3.4.21.-]	69.6	1448.34	79.0	663.7400000000001
K12686	apeE, estA, lip-1; outer membrane lipase/esterase	23.2	495.17	79.0	286.47
K12700	rihC; non-specific riboncleoside hydrolase [EC:3.2.-.-]	13092.75	13908.0	15237.5	13076.5
K12940	abgA; aminobenzoyl-glutamate utilization protein A	13091.0	13945.17	15234.0	13122.17
K12941	abgB; aminobenzoyl-glutamate utilization protein B	13912.0	14790.17	16245.5	13967.34
K12942	abgT; aminobenzoyl-glutamate transport protein	15264.33	15958.37	17375.0	15202.34
K12943	ygeR; lipoprotein YgeR	13091.0	13945.17	15234.0	13122.17
K12944	nudI; nucleoside triphosphatase [EC:3.6.1.-]	13091.0	13945.17	15234.0	13122.17
K12945	nudK; GDP-mannose pyrophosphatase NudK [EC:3.6.1.-]	13091.0	13908.0	15234.0	13100.5
K12950	ctpC; manganese/zinc-transporting P-type ATPase C [EC:3.6.3.-]	1326.0	0.0	2.0	51.0
K12952	ctpE; cation-transporting P-type ATPase E [EC:3.6.3.-]	341.0	0.0	9.0	0.0
K12957	yjgB; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]	13091.0	13908.0	15770.0	15067.5
